filepath,file_size,num_sections,export_count,avg_entropy,label
C:\Windows\System32\ApplicationTargetedFeatureDatabase.dll,372736,7,2,3.284562395,0
C:\Windows\System32\AppListBackupLauncher.dll,118784,7,4,2.777081086,0
C:\Windows\System32\AppLockerCSP.dll,368640,8,2,3.103584275,0
C:\Windows\System32\AppMon.dll,126976,8,2,2.132718463,0
C:\Windows\System32\AppointmentActivation.dll,176128,8,26,2.45606808,0
C:\Windows\System32\AppointmentApis.dll,806912,8,5,3.240153601,0
C:\Windows\System32\appraiser.dll,2663880,8,13,3.573893404,0
C:\Windows\System32\AppReadiness.dll,798720,8,2,3.93763055,0
C:\Windows\System32\apprepapi.dll,40960,7,10,1.190130073,0
C:\Windows\System32\AppResolver.dll,724592,8,4,3.871784622,0
C:\Windows\System32\appsruprov.dll,221184,7,8,2.808757154,0
C:\Windows\System32\AppxAllUserStore.dll,447944,8,102,2.391325795,0
C:\Windows\System32\AppXApplicabilityBlob.dll,253952,7,7,3.059332127,0
C:\Windows\System32\AppxApplicabilityEngine.dll,275896,8,11,2.902050387,0
C:\Windows\System32\AppXDeploymentClient.dll,1472496,8,108,3.883699028,0
C:\Windows\System32\AppXDeploymentExtensions.desktop.dll,2715648,10,6,3.582754787,0
C:\Windows\System32\AppXDeploymentExtensions.onecore.dll,3420160,8,3,4.035593926,0
C:\Windows\System32\AppXDeploymentServer.dll,5910528,8,40,4.436231726,0
C:\Windows\System32\AppxPackaging.dll,2475448,8,6,3.845869693,0
C:\Windows\System32\AppxSip.dll,405504,8,39,3.124748418,0
C:\Windows\System32\AppxStreamingDataSourcePS.dll,45056,7,2,1.52043778,0
C:\Windows\System32\AppxSysprep.dll,229376,8,4,2.368717919,0
C:\Windows\System32\Apx01000.dll,225280,7,103,2.696230329,0
C:\Windows\System32\ApxSvc.dll,73728,7,1,2.144429192,0
C:\Windows\System32\archiveint.dll,1409024,7,432,3.692963076,0
C:\Windows\System32\asferror.dll,12288,2,0,0.828119971,0
C:\Windows\System32\aspnet_counters.dll,27032,6,9,2.960604488,0
C:\Windows\System32\AssignedAccessRuntime.dll,90112,8,3,2.06110497,0
C:\Windows\System32\asycfilt.dll,110592,7,2,2.548006026,0
C:\Windows\System32\atl.dll,122880,8,54,2.623659635,0
C:\Windows\System32\atl110.dll,192584,6,52,4.480620848,0
C:\Windows\System32\atlthunk.dll,53248,6,4,2.595851065,0
C:\Windows\System32\atmlib.dll,77824,7,76,2.063205433,0
C:\Windows\System32\AudioEndpointBuilder.dll,622592,10,2,2.497123895,0
C:\Windows\System32\AudioEng.dll,2009656,12,6,3.727389921,0
C:\Windows\System32\AudioHandlers.dll,757760,8,2,3.13038765,0
C:\Windows\System32\AUDIOKSE.dll,484912,12,4,2.798163655,0
C:\Windows\System32\audioresourceregistrar.dll,106496,8,2,2.098910623,0
C:\Windows\System32\AudioSes.dll,1840248,11,12,2.917723109,0
C:\Windows\System32\audiosrv.dll,1982464,10,2,3.602265758,0
C:\Windows\System32\AudioSrvPolicyManager.dll,456024,8,27,3.31585773,0
C:\Windows\System32\auditcse.dll,192512,8,4,2.752399947,0
C:\Windows\System32\auditpolcore.dll,102400,7,29,2.481761577,0
C:\Windows\System32\AuthBroker.dll,225280,8,11,2.802576319,0
C:\Windows\System32\AuthBrokerUI.dll,155648,8,9,2.805093083,0
C:\Windows\System32\AuthExt.dll,98304,8,2,2.471714214,0
C:\Windows\System32\authfwcfg.dll,368640,8,2,2.597001145,0
C:\Windows\System32\AuthFWGP.dll,53248,7,4,2.157157633,0
C:\Windows\System32\AuthFWSnapin.dll,5298688,3,0,3.112221547,0
C:\Windows\System32\AuthFWWizFwk.dll,113152,3,0,2.776286982,0
C:\Windows\System32\AuthHostProxy.dll,40960,7,4,1.502343351,0
C:\Windows\System32\authui.dll,266240,8,3,3.284206071,0
C:\Windows\System32\authz.dll,327680,8,68,2.649587521,0
C:\Windows\System32\AutomaticAppSignInPolicy.dll,70656,7,2,3.513595839,0
C:\Windows\System32\autopilot.dll,221184,8,9,2.335968478,0
C:\Windows\System32\autopilotdiag.dll,61440,7,0,1.9218841,0
C:\Windows\System32\autoplay.dll,200704,8,2,3.143014191,0
C:\Windows\System32\autotimesvc.dll,139264,8,3,2.138125585,0
C:\Windows\System32\avicap32.dll,110592,7,6,2.212058895,0
C:\Windows\System32\avifil32.dll,143360,7,76,2.671650112,0
C:\Windows\System32\avrt.dll,55184,6,20,2.026763891,0
C:\Windows\System32\AxInstSv.dll,172032,8,2,2.41008792,0
C:\Windows\System32\azroles.dll,647168,8,44,3.476144533,0
C:\Windows\System32\azroleui.dll,430080,7,4,3.682746743,0
C:\Windows\System32\AzSqlExt.dll,57344,7,6,1.845705724,0
C:\Windows\System32\BackgroundMediaPolicy.dll,94208,7,2,2.592637336,0
C:\Windows\System32\BamSettingsClient.dll,40960,7,5,1.473811207,0
C:\Windows\System32\BarcodeProvisioningPlugin.dll,118784,8,3,2.338510733,0
C:\Windows\System32\basecsp.dll,259528,8,28,3.162561361,0
C:\Windows\System32\basesrv.dll,94208,7,6,2.158013781,0
C:\Windows\System32\batmeter.dll,126976,8,29,2.217955701,0
C:\Windows\System32\bcastdvr.proxy.dll,217088,7,4,2.149997785,0
C:\Windows\System32\BcastDVRBroker.dll,126976,7,3,3.051000303,0
C:\Windows\System32\BcastDVRClient.dll,483328,7,3,3.88513756,0
C:\Windows\System32\BcastDVRCommon.dll,278528,8,88,2.600745406,0
C:\Windows\System32\bcastdvruserservice.dll,1421312,8,1,3.535558288,0
C:\Windows\System32\bcd.dll,166784,7,75,2.241147352,0
C:\Windows\System32\bcdprov.dll,94208,7,3,2.180632318,0
C:\Windows\System32\bcdsrv.dll,106496,7,3,2.678962087,0
C:\Windows\System32\BCP47Langs.dll,394032,8,71,3.023377477,0
C:\Windows\System32\BCP47mrm.dll,224592,8,17,2.829894755,0
C:\Windows\System32\bcrypt.dll,166784,8,58,2.451791787,0
C:\Windows\System32\bcryptprimitives.dll,641952,7,10,3.125649517,0
C:\Windows\System32\BdeHdCfgLib.dll,131072,7,114,2.648728809,0
C:\Windows\System32\bderepair.dll,81920,7,15,2.038570495,0
C:\Windows\System32\bdesvc.dll,606208,8,2,3.23103856,0
C:\Windows\System32\bdeui.dll,61440,7,128,1.872976501,0
C:\Windows\System32\BFE.DLL,1085440,8,4,3.334412972,0
C:\Windows\System32\bi.dll,53248,7,35,1.880352842,0
C:\Windows\System32\bidispl.dll,143360,7,4,3.043991455,0
C:\Windows\System32\bindfltapi.dll,229376,7,13,3.122743231,0
C:\Windows\System32\BingASDS.dll,430080,8,2,3.003038171,0
C:\Windows\System32\BingFilterDS.dll,102400,7,2,2.616882405,0
C:\Windows\System32\BingMaps.dll,8118272,7,1,4.144832379,0
C:\Windows\System32\BingOnlineServices.dll,688128,7,377,3.859940602,0
C:\Windows\System32\BioCredProv.dll,434176,8,2,3.248995904,0
C:\Windows\System32\bisrv.dll,966656,8,11,3.253101865,0
C:\Windows\System32\BitLockerCsp.dll,385024,8,2,3.038504694,0
C:\Windows\System32\bitsigd.dll,110592,8,2,2.109853588,0
C:\Windows\System32\bitsperf.dll,53248,7,32,2.037908226,0
C:\Windows\System32\BitsProxy.dll,90112,8,4,2.250534998,0
C:\Windows\System32\biwinrt.dll,373360,8,11,2.785019706,0
C:\Windows\System32\BlbEvents.dll,86016,2,0,2.026036477,0
C:\Windows\System32\blbres.dll,12288,2,0,0.861156162,0
C:\Windows\System32\blb_ps.dll,90112,7,5,2.0344084,0
C:\Windows\System32\BluetoothApis.dll,237568,9,98,2.827779625,0
C:\Windows\System32\BluetoothDesktopHandlers.dll,151552,8,1,2.270159363,0
C:\Windows\System32\BluetoothOppPushClient.dll,131072,6,2,2.78421272,0
C:\Windows\System32\bnmanager.dll,110592,7,2,2.583190484,0
C:\Windows\System32\BootCriticalUpdatePlugin.dll,185800,7,5,2.653514679,0
C:\Windows\System32\BootMenuUX.dll,241664,8,87,2.416673039,0
C:\Windows\System32\bootstr.dll,21824,2,0,1.126713769,0
